school,verbal,math,verbal + math,writing,verbal + math + writing
Arts,596,594,1190,580,1770
Biological Sciences,583,609,1192,580,1772
Business,577,637,1214,591,1805
Education,543,582,1125,552,1677
Engineering,607,672,1279,599,1878
Humanities,582,597,1179,587,1766
Info and Computer Sci,629,674,1303,615,1918
Nursing Science,641,657,1299,638,1937
Pharmaceutical Sciences,569,613,1183,569,1751
Physical Sciences,532,686,1219,570,1789
Public Health,560,583,1144,564,1708
Social Ecology,566,565,1131,563,1694
Social Sciences,544,641,1184,571,1755
Undergrad Education,549,605,1154,553,1707
